what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340028572786
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340028572787
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1340028575263
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1340028578091
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1340028578193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1340028584605
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340028586355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028588478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028596203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028607476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028628414
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340028629835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1340028633017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028634460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028755100
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340028755116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028766686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028767059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028767467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028774469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028775698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028847664
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340028853031
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340028853131
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340028853197
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340028857391
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340028857391
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340028859301
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340028859562
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340028874106
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340028874106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340028925343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340028925983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1340028931874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028933121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340028986096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1340028990671
